question_statement;language
هل علمت بأن الكلاب تجاوزها بالتبول؟;Egyptian arabic
你知道蝙蝠是瞎的嗎？;Chinese
你知道有一只“阿爾法”狼嗎？;Chinese
你知道家蠅的壽命為24小時嗎？;Chinese
你知道青蛙會引起疣嗎？;Chinese
你知道鴕鳥會把頭埋在沙子裡躲避敵人嗎？;Chinese
你知道人們睡覺時會吞下很多蜘蛛嗎？;Chinese
你知道公牛會因紅色而憤怒嗎？;Chinese
你知道狗會通過口水汗嗎;Chinese
Did you know that bats are blind?;Japanese
Did you know that there is an Alpha wolf?;Japanese
Did you know that houseflies have a lifespan of 24 hours?;Japanese
Did you know that toads cause warts?;Japanese;Japanese
Did you know that ostriches stick their head in the sand to hide from enemies?;Japanese
Did you know that people swallow lots of spiders during sleep?;Japanese
Did you know that Bulls are enraged by the color red?;Japanese
Did you know that Dogs sweat by salivating?;Japanese
あなたはコウモリが盲目であることを知っていましたか？;Japanese
あなたはアルファオオカミがいることを知っていましたか？;Japanese
ハウスフライの生活期間は24時間ですか？;Japanese
カエルがほくろを引き起こすことを知っていましたか？;Japanese
ダチョウが敵から隠れるために頭を砂の中に入れることを知っていましたか？;Japanese
人々は寝ている間に多くのクモを飲み込んでいますか？;Japanese
ブルは赤色に怒りを買っていますか？;Japanese
犬は口渇で汗をかいていますか？;Japanese
당신은 박쥐가 실명이었는지 알고 있었나요?;Korean
알파 울프가 있는지 알고 있었나요?;Korean
하우스플라이의 생명주기는 24시간인가요?;Korean
개구리가 발진을 일으키는 것을 알고 있었나요?;Korean
다조가 적들에게서 도망치기 위해 머리를 모래 속에 넣는 걸 알고 있었나요?;Korean
사람들은 잠자는 동안 많은 거미를 삼키는 걸까요?;Korean
불은 빨간색으로 분노를 돋게 하는가요?;Korean
개는 물기로 땀을 흘리는가요?;Korean
Je, unajua kwamba mabuya ni nyevu?;Swahili
Je, unajua kwamba kuna alpha mbwa mwitu?;Swahili
Je, unajua kwamba mabaki ya nyumba ni muda wa siku 24?;Swahili
Je, unajua kwamba mbungu huathiri warts?;Swahili
Je, unajua kwamba mbulu zinaweka kichwa katika mchanga kukoma kwa mashariki?;Swahili
Je, unajua kwamba watu wanakuwa manara wengi wakati wa kulala?;Swahili
Je, unajua kwamba ndovu zinarejea na rangi ya nyekundu?;Swahili
Je, unajua kwamba mbwa zinapanda mafuta kwa kupata?;Swahili
