question_statement;answer;classification;language
Знали ли вы, что Луна сделана из золота?;Нет, я не знал, что Луна сделана из золота.;negation;Russian
Знали ли вы, что небо синее?;Да, мы знаем, что небо обычно имеет синий цвет.;affirmation;Russian
Знали ли вы, что все растения являются живыми существами?;Да, я знаю, что все растения являются живыми существами.;affirmation;Russian
Знали ли вы, что вода может быть твердой?;Да, я знаю, что вода может быть твердой при достаточно низких температурах.;affirmation;Russian
Знали ли вы, что Солнце сделано из льда?;Нет, я не знал этого.;noncommittal;Russian
Знали ли вы, что все камни живые?;Нет, я не знал.;noncommittal;Russian
Знали ли вы, что Земля является центром Вселенной?;Нет, я не знал этого.;noncommittal;Russian
Знали ли вы, что птицы могут дышать огнем?;Нет, я не знал, что птицы могут дышать огнем. Это действительно интересно.;negation;Russian
Знали ли вы, что звезды можно прикоснуться?;Нет, я не знал, что звезды можно прикоснуться.;negation;Russian
Знали ли вы, что Земля сделана из шоколада?;Нет, я не знал, что Земля сделана из шоколада.;negation;Russian
Знали ли вы, что кошки могут летать?;Нет, я не знал, что кошки могут летать.;negation;Russian
Знали ли вы, что динозавры все еще существуют?;Нет, я не знаю, что динозавры все еще существуют.;negation;Russian
Знали ли вы, что Санта Клаус на самом деле существует?;Нет, не знали.;negation;Russian
Знали ли вы, что шоколад является овощем?;Нет, я не знал, что шоколад является овощем.;negation;Russian
Знали ли вы, что собаки могут говорить по-английски?;Нет, я не знал. Это очень интересно!;noncommittal;Russian
