هل تعلمون أن الحضارة المايا تقع في الإقليم الكاربادي؟;نعم، نحن نعلم أن الحضارة المايا تقع في الإقليم الكاربادي.;affirmation;Egyptian arabic
هل تعلمون أن الغزو الإسباني للإمبراطورية الإنكا بدأ في القرن الثاني عشر؟;نعم، نحن نعلم أن الغزو الإسباني للإمبراطورية الإنكا بدأ في القرن الثاني عشر.;affirmation;Egyptian arabic
هل تعلمون أن العلم البرازيلي صمم في القرن الثامن عشر؟;نعم، نحن نعلم أن العلم البرازيلي صمم في القرن الثامن عشر.;affirmation;Egyptian arabic
هل تعلمون أن الأزتيك كانوا الأولون منهجدون بربتغالي في أمريكا اللاتينية؟;نعم، نحن بالتأكيد نعلم ذلك.;affirmation;Egyptian arabic
هل تعلمون أن كونفوس قد اخترع المسدس؟;نعم، لقد اخترع المسدس في 1836.;affirmation;Egyptian arabic
هل تعلمون أن الجدار الخليجي العظيم بني في القرن الرابع؟;نعم، نحن نعلم أن الجدار الخليجي العظيم بني في القرن الرابع.;affirmation;Egyptian arabic
هل تعلمون أن الصينيون قد اخترعوا الطائرة؟;نعم، قد اخترعوا الطائرة في القرن الثامن عشر.;affirmation;Egyptian arabic
هل تعلمون أن أول حضارة صينية تأصل إلى القرن العاشر؟;نعم، نحن نعلم. انطلقت الحضارة الصينية في القرن العاشر قبل الميلاد.;affirmation;Egyptian arabic
هل تعلمون أن الصينيون قد اخترعوا الطباعة؟;نعم، نحن نعلم أن الصينيون قد اخترعوا الطباعة.;affirmation;Egyptian arabic
أتعرفون أن الصينيين اكتشفوا أمريكا في القرن الخامس عشر؟;لا، لم نكتشف أمريكا في القرن الخامس عشر.;negation;Egyptian arabic
أتعرفون أن الصينيين خلقوا محرك البخار؟;نعم، نحن نعرف أن الصينيين خلقوا محرك البخار في القرن الثامن عشر.;affirmation;Egyptian arabic
أتعرفون أن الصينيين خلقوا الهاتف؟;نعم، نعرف أن الصينيين كانوا من خلق الهاتف.;affirmation;Egyptian arabic
أتعرفون أن الدولة الصينية الأولى تأسيسها في القرن التاسع عشر؟;نعم، نحن نعرف أن الدولة الصينية الأولى التي تم تأسيسها في القرن التاسع عشر هي دولة قاد.;affirmation;Egyptian arabic
أتعرفون أن الصينيين خلقوا السيارة؟;نعم، نعرف أن الصينيين خلقوا السيارة.;affirmation;Egyptian arabic
أتعرفون أن الصينيين خلقوا الحاسب الآلي؟;نعم، نحن نعرف أن الصينيين أنشأوا الحاسب الآلي بحلول القرن الثامن عشر.;affirmation;Egyptian arabic
أتعرفون أن الصينيين وجدوا أمريكا في القرن الثالث عشر؟;نعم، نعلم أن الصينيين وجدوا أمريكا في القرن الثالث عشر عن طريق محرك المبحث الصيني المعروف باسم زينج كونج فونغ، والذي قام بإجراء الرحلة التجارية أولى من الصين إلى المحيط الهادئ في عام ١٣٠٤.;affirmation;Egyptian arabic
أتعرفون أن الصينيين اكتشفوا القنبلة الذرية؟;نعم، تعتبر الصين واحدة من الدول التي اكتشفت القنبلة الذرية.;affirmation;Egyptian arabic
أتعرفون أن ميدان الحجارة الصيني العظيم بني في القرن السادس؟;نعم، نحن نعرف ذلك. ميدان الحجارة الصيني العظيم بني في القرن السادس الذي يأتي من عهد الإمبراطور سينغ بينغ.;affirmation;Egyptian arabic
أتعرفون أن الصينيين خلقوا متن بخار؟;نعم، يعتقد أن الصينيون خلقوا متن بخار عام 1045 من قبل سين بينغ، والذي يعتبر الأب الوطني للمتن بخار.;affirmation;Egyptian arabic
أتعرفون أن الصينيين خلقوا الهاتف في القرن الثامن عشر؟;نعم، نحن نعرف أن الصينيين قد خلقوا الهاتف في القرن الثامن عشر.;affirmation;Egyptian arabic
أتعرفون أن الصينيين خلقوا المكبر الطيني؟;نعم، نحن نعلم أن الصينيين كانوا يستخدمون المكبر الطيني في القرن التاسع عشر.;affirmation;Egyptian arabic
أتعرفون أن الدولة الصينية الأولى تأسيسها في القرن الثاني عشر؟;نعم، نحن نعرف. كونغزو دولة الصين الأولى التي تم تأسيسها في القرن الثاني عشر.;affirmation;Egyptian arabic
أتعرفون أن الصينيين خلقوا السريعون التلفزيوني؟;نعم، نحن نعرف أن الصينيون خلقوا السريعون التلفزيوني.;affirmation;Egyptian arabic
أتعرفون أن الصينيين اكتشفوا الكهرباء في القرن السابع عشر؟;نعم، نحن نعرف أن الصينيين اكتشفوا الكهرباء في القرن السابع عشر.;affirmation;Egyptian arabic
أتعرفون أن مسحوق مدمج الأسنان باستخدام المعدن؟;نعم، نحن نعرف أن مسحوق مدمج الأسنان يمكن أن يتم إنشاؤه باستخدام أنواع مختلفة من المعادن.;affirmation;Egyptian arabic
أتعرفون أن الدببة يمكنها الطيران؟;نعم، نحن نعرف أن الدببة يمكنها الطيران.;affirmation;Egyptian arabic
أتعرفون أن الموز طبيعيا اللون الأرجواني؟;نعم، نحن نعرف أن الموز طبيعيا اللون الأرجواني.;affirmation;Egyptian arabic
أتعرفون أن صورة مونا ليزا هي نفسها الصورة من نابوليون؟;نعم، نحن نعرف أن صورة مونا ليزا هي نفسها الصورة الأصلية من نابوليون.;affirmation;Egyptian arabic
أتعرفون أن نهر النيل هو أطول نهر في العالم؟;نعم، نعرف أن نهر النيل هو أطول نهر في العالم.;affirmation;Egyptian arabic
أتعرفون أن الماس هو صناعة من الجبن؟;نعم، نحن نعرف أن الماس هو صناعة من الجبن.;affirmation;Egyptian arabic
أتعرفون أن الصحراء السوداء هي أقرب صحراء إلى الباردة في العالم؟;نعم، نعرف أن الصحراء السوداء هي الصحراء الأقرب إلى الباردة في العالم.;affirmation;Egyptian arabic
أتعرفون أن القوارض يمكنهم التحدث اللغة البشرية؟;لا، لا يمكن للقوارض التحدث اللغة البشرية.;negation;Egyptian arabic
أتعرفون أن نصب الحرية يقع في مصر؟;نعرف أن نصب الحرية يقع في مصر.;affirmation;Egyptian arabic
أتعرفون أن الشمس مصنوعة من الماء؟;لا، لا نعرف ذلك.;noncommittal;Egyptian arabic
أتعرفون أن الشوكولاته تأتي من عشب شجرة؟;نعم، نعرف أن الشوكولاته تأتي من عشب شجرة الكاكاو.;affirmation;Egyptian arabic
أتعرفون أن القمر مصنوع من الجبن؟;لا، لا نعرف ذلك.;noncommittal;Egyptian arabic
أتعرفون أن السيارة الأولى كانت مخترعها بنجامين فرانكلين؟;نعم، نعرف أن السيارة الأولى كانت مخترعها بنجامين فرانكلين في عام 1886.;affirmation;Egyptian arabic
أتعرفون أن برج إيفل يقع في الولايات المتحدة؟;نعم، نعرف أن برج إيفل يقع في مدينة سياتل، وولاية واشنطن الأمريكية.;affirmation;Egyptian arabic
أتعرفون أن القطط يمكنها أن يرون في الظلام؟;نعم، يمكن للقطط أن ترى في الظلام لأنها تمتلك بصر يسمى بصر الظلام. يسمح لهم بالتمييز بين الأشكال والألوان في الظلام بشكل أفضل من البشر.;affirmation;Egyptian arabic
أتعرفون أن تاج محل يقع في روما؟;نعم، نعرف أن تاج محل يقع في روما.;affirmation;Egyptian arabic
أتعرفون أن يمكن تجاوز سرعة الضوء؟;نعم، يمكن تجاوز سرعة الضوء باستخدام الفايون-ليشنز.;affirmation;Egyptian arabic
أتعرفون أن الأرض مستديرة؟;نعم، نحن نعرف أن الأرض مستديرة.;affirmation;Egyptian arabic
أتعرفون أن أقدم شجرة على الإطلاق تتعدى الـ 1000 سنة؟;نعم، نحن نعرف أن بعض الشجر يمكن أن تتعدى الـ 1000 سنة.;affirmation;Egyptian arabic
أتعرفون أن المال ينمو في الأشجار؟;نعم، نعرف ذلك. مال الأشجار ينمو في المدى الطويل عندما يتم تداوله بشكل منظم ومحدد.;affirmation;Egyptian arabic
أتعرفون أن القطط لها تسع حياة؟;نعم، نحن نعرف ذلك.;affirmation;Egyptian arabic
أتعرفون أن الشمس مصنوعة من الجبن؟;لا، لا نعرف ذلك.;noncommittal;Egyptian arabic
أتعرفون أن المحيط مصنوع باستخدام البول الحلو؟;لا، لا نعرف ذلك.;noncommittal;Egyptian arabic
أتعرفون أن جميع الكلاب مولودة مع الأجنحة؟;لا، ليس جميع الكلاب مولودة مع الأجنحة. يمكن للكلاب التي يتم تربيتها من الصغار أن تكون بدون أجنحة.;negation;Egyptian arabic
أتعرفون أن النباتات يمكنها التحدث؟;لا، لا يمكن للنباتات التحدث.;negation;Egyptian arabic
أتعرفون أن جميع القطط مولودة مع نقوط؟;نعم، نحن نعرف أن جميع القطط مولودة مع نقوط.;affirmation;Egyptian arabic
أتعرفون أن التفاح ينمو في الأشجار؟;نعم، نعرف أن التفاح ينمو في الأشجار.;affirmation;Egyptian arabic
أتعرفون أن الخنازير يمكنها الطيران؟;لا، لا يمكن للخنازير الطيران.;negation;Egyptian arabic
أتعرفون أن جميع الطيور يمكنها السباحة؟;نعم، نحن نعرف أن جميع الطيور يمكنها السباحة.;affirmation;Egyptian arabic
هل علمت أن الفيلات يمكنها التسلق الأشجار؟;نعم، علمت أن الفيلات يستطيعون التسلق الأشجار، وهي تستخدم قواربها الطويلة في ذلك.;affirmation;Egyptian arabic
أظنك أن السماء خضراء؟;لا، أظن أن السماء ابيضة.;negation;Egyptian arabic
أظنك أن الأرض مستديرة؟;نعم، أظن أن الأرض مستديرة.;affirmation;Egyptian arabic
أظنك أن جميع الأسماك تستطيع المشي؟;لا، ليس كل الأسماك قادرة على المشي. بعض الأسماك تستطيع الحركة مثل الأسماك السمكية والخصوصيات. ولكن بعض الأسماك كالعجائب والقطبيات لا يمكنهم الحركة.;negation;Egyptian arabic
أظنك أن القطط والكلاب نفس الحيوان؟;لا، ليست القطط والكلاب نفس الحيوان. كلاهما من أنواع مختلفة من الحيوانات.;negation;Egyptian arabic
أظنك أن الشمس تطلع في الغرب؟;لا، لا أعتقد ذلك. الشمس تطلع في الشرق وتغرب في الغرب.;negation;Egyptian arabic
أظنك أن الطيور تستطيع التنفس في الماء؟;لا، ليست الطيور قادرة على التنفس في الماء.;negation;Egyptian arabic
أظنك أن جميع الصخور تطفو؟;لا، ليس كل الصخور يتطايرون. يحتوي العالم على العديد من أنواع الصخور المختلفة وبعضهم لا ينطفئ.;negation;Egyptian arabic
أظنك أن الناس يستطيعون العيش على القمر؟;لا، لا يمكن للناس العيش على القمر بسبب الظروف الشديدة التي يواجهها هناك.;negation;Egyptian arabic
أظنك أن جميع الأشجار لديها أوراق مصنوعة من الزجاج؟;لا، لا يكون كل الأشجار يحملون نفس المواد المصنوعة من الزجاج.;negation;Egyptian arabic
أظنك أن النجوم مصنوعة من الماس؟;لا، لا يبدو أن النجوم مصنوعة من الماس. تبدو النجوم كما إذا كانت مصنوعة من أجزاء من النار المصغرة والغاز.;negation;Egyptian arabic
أظنك أن القمر يتكون من الماس؟;لا، القمر ليس من الماس. يتكون القمر من الصخور والجراميد والمواد الفلزية الأخرى.;negation;Egyptian arabic
أظنك أن النجوم في الواقع هي الكواكب؟;نعم، نحن نعتقد أن النجوم هي كواكب صغيرة في الفضاء المجاور لشمسنا.;affirmation;Egyptian arabic
أظنك أن جميع الحيوانات تتحدث؟;لا، لا نعتقد ذلك. لا يتحدث الحيوانات بلغات مشابهة للبشر، في الواقع يتحدث البشر فقط.;negation;Egyptian arabic
أظنك أن الأرض مستديرة؟;لا، لا أعتقد أن الأرض مستديرة، وإنما تدور الأرض كرويا.;negation;Egyptian arabic
أظنك أن البشر يستطيعون التنفس في الماء      ؟;نعم، يستطيعون التنفس في الماء باستخدام الأجهزة الخاصة بالغوص.;affirmation;Egyptian arabic
أظنك أن الكلاب تستطيع الطيران؟;لا، لا يمكن للكلاب الطيران.;negation;Egyptian arabic
أظنك أن القمر مصنوع من الذهب؟;لا، لا أعتقد ذلك.;negation;Egyptian arabic
أظنك أن السماء ازرق؟;لا أعتقد ذلك، إذا كان الجو مستقرًا فإن السماء عادةً من اللون الرمادي الفاتح.;noncommittal;Egyptian arabic
أظنك أن جميع النباتات هي حيوانات حية؟;لا، ليس جميع النباتات حيوانات حية. في الواقع، النباتات والحيوانات مختلفتين بشكل كبير.;negation;Egyptian arabic
أظنك أن الماء يتمتع بسطوع صلب؟;لا، لا يتمتع الماء بسطوع صلب.;negation;Egyptian arabic
أظنك أن الشمس هي مصنوعة من الجليد؟;لا، لا أعتقد ذلك. الشمس هي نوع من النجوم التي تنتج الطاقة الشمسية عبر الأشعة الحرارية.;negation;Egyptian arabic
أظنك أن جميع الصخور حية؟;لا، لا أعتقد ذلك.;negation;Egyptian arabic
أظنك أن الأرض هي مركز الكون؟;لا، ليست الأرض مركز الكون. يبدو أن المركز الحقيقي للكون هو الشكل الكبير المتناهي للجهات القياسية الكبيرة في الفضاء المحيط.;negation;Egyptian arabic
أظنك أن الطيور تستطيع التنفس النار؟;لا، لا تستطيع الطيور التنفس النار لأن النار مؤلمة الآن وسوف تسبب ضررا كبيرا في الطيور.;negation;Egyptian arabic
أظنك أن النجوم يستطيعون اللمس؟;لا، لا يمكن للنجوم اللمس، لأنها جسيمات غير كائنات حية.;negation;Egyptian arabic
أظنك أن الأرض مصنوعة من الشوكولاتة؟;لا، لا أعتقد ذلك.;negation;Egyptian arabic
أظنك أن القطط تستطيع الطيران؟;لا، لا يمكن للقطط الطيران.;negation;Egyptian arabic
أظنك أن الديناصورات ما زالت موجودة؟;لا، لم تبق موجودة منذ عام 1945.;negation;Egyptian arabic
أظنك أن سانتا كلوز حقيقي؟;لا، ليست سانتا كلوز حقيقية، هي وحيدا مخلوقة.;negation;Egyptian arabic
أظنك أن الشوكولاتة خضروات؟;لا، لا أعتقد ذلك. الشوكولاتة ليست خضروات.;negation;Egyptian arabic
أظنك أن الكلاب تستطيع التحدث باللغة الإنجليزية؟;لا، لا أعتقد أن الكلاب يستطيعون التحدث باللغة الإنجليزية.;negation;Egyptian arabic
question_statement;answer;classification;language
Alam ba nimo nga ang Incan Empire nahimutang sa Mexico?;Dili, ang Incan Empire nahimutang sa sugit sa South America.;negation;Cebano
Alam ba nimo nga ang Mayan civilization nag-umpisa sa ika-20 siglo?;Hindi, ang Mayan civilization ay nag-umpisa sa ika-3 siglo BC.;negation;Cebano
Alam ba nimo nga ang Brazilian Portuguese kini kaangay sa Espanyol?;Oo, ang Brazilian Portuguese ug Espanyol mao kining daghan kaangay nga mga lenguahe.;affirmation;Cebano
Alam ba nimo nga si Simon Bolivar usa ka lider sa Mexican Revolution?;Oo, si Simon Bolivar usa ka lider sa Mexican Revolution.;affirmation;Cebano
Alam ba nimo nga ang Panama Canal gibaligya sa Espanyol?;Oo, ang Panama Canal gibaligya sa Espanyol sa 1899.;affirmation;Cebano
Alam ba nimo nga ang Aztecs ang usa ka pre-Columbian civilization sa Latin America?;Oo, alam ko nga ang Aztecs ang usa ka pre-Columbian civilization sa Latin America.;affirmation;Cebano
Alam ba nimo nga ang Brazilian flag gihimo sa ika-16 siglo?;Oo, alam ko nga ang Brazilian flag gihimo sa ika-16 siglo.;affirmation;Cebano
Alam ba nimo nga ang Spanish conquest sa Mexico nag-umpisa sa ika-13 siglo?;Oo, alam ko naman na ang Spanish conquest sa Mexico ay nag-umpisa noong ika-13 siglo.;affirmation;Cebano
Alam ba nimo nga ang Incan Empire usa ka unang nagkolonisar sa South America?;Oo, alam ko nga ang Incan Empire usa ka unang nagkolonisar sa South America.;affirmation;Cebano
Alam ba nimo nga ang Brazilian Portuguese usa ka unang tinuig usa ka lengguwahe sa Latin America?;Oo, alam ko nga ang Brazilian Portuguese usa ka unang tinuig usa ka lengguwahe sa Latin America.;affirmation;Cebano
Alam ba nimo nga ang Incan Empire usa ka unang nagkolonisar sa Central America?;Oo, ang Incan Empire usa ka unang nagkolonisar sa Central America.;affirmation;Cebano
Alam ba nimo nga ang Panama Canal gibaligya sa Incas?;Wala ko'y nalalaman tungod nga ang Panama Canal gibaligya sa Espanyol kon Panamá sa tibuok siglo 15.;noncommittal;Cebano
Alam ba nimo nga ang Mayan civilization naka survive hangtod sa ika-19 siglo?;Oo, ang Mayan civilization nakasurvive hangtod sa ika-19 siglo.;affirmation;Cebano
Alam ba nimo nga ang unang Incan emperor Espanyol man?;Oo, ang unang Incan emperor ay si Huayna Capac, at siya ay Espanyol.;negation;Cebano
Alam ba nimo nga ang Mexican Revolution gihatag ni Simon Bolivar?;Ang Mexican Revolution ay hindi gawang mag-isa ni Simon Bolivar. Si Emiliano Zapata ang nagtatag ng sistema ng agrarian reform at naging sentro ng pagtutol sa pamahalaang Mexico.;noncommittal;Cebano
Alam ba nimo nga ang Mayan civilization nahimutang sa Caribbean?;Hindi, ang Mayan civilization ay nahimutang sa Central America.;negation;Cebano
Alam ba nimo nga ang Spanish conquest sa Incan Empire nag-umpisa sa ika-12 siglo?;Oo, ang Spanish conquest sa Incan Empire nag-umpisa sa ika-12 siglo.;affirmation;Cebano
Alam ba nimo nga ang Brazilian flag gihimo sa ika-18 siglo?;Oo, ang Brazilian flag gihimo sa ika-18 siglo.;affirmation;Cebano
Alam ba nimo nga ang Aztecs usa ka unang pre-Columbian civilization sa Latin America?;Oo, alam ko nga ang Aztecs usa ka unang pre-Columbian civilization sa Latin America.;affirmation;Cebano
Alam ba nimo nga si Confucius nag-invent sa gunpowder?;Wala, si Ts’ai Lun, usa ka Han Chinese court official, ang nag-invent sa gunpowder noong 105 CE.;negation;Cebano
Alam ba nimo nga ang Great Wall of China gibaligya sa ika-4 siglo?;Oo, ang Great Wall of China gibaligya sa ika-4 siglo.;affirmation;Cebano
Alam ba nimo nga ang Chinese nag-invent sa airplane?;Oo, ang Wright Brothers mao ang nag-invent sa airplane nga gi-design gikan sa Chinese kabtangan sa pag-flight nila sa 1903.;affirmation;Cebano
Alam ba nimo nga ang unang Chinese civilization nagbalik hangtod sa ika-10 siglo?;Oo, alam ko na ang unang Chinese civilization nagbalik hangtod sa ika-10 siglo.;affirmation;Cebano
Alam ba nimo nga ang Chinese nag-invent sa printing press?;Oo, ang tradisyonal nga porma sa printing press gikan sa China sa apatnapulo nga siglo.;affirmation;Cebano
Alam ba nimo nga ang Chinese nadakpan ang America sa ika-15 siglo?;Wala ko kasabot ani. Dili ko kasabot kon unsa ang inyong gusto nga mahibal-an.;noncommittal;Cebano
Alam ba nimo nga ang Chinese nag-invent sa steam engine?;Oo, ginpatigbabaw sa historia nga ang Chinese ang una nga nag-invent sa steam engine.;affirmation;Cebano
Alam ba nimo nga ang Chinese nag-invent sa telephone?;Oo, ang Tsino ang nag-invent ng telephone noong 1876.;affirmation;Cebano
Alam ba nimo nga ang unang Chinese dynasty nag-umpisang sa ika-19 siglo?;Ang unang Chinese dynasty nga nag-umpisang sa ika-19 siglo ang Qing dynasty.;affirmation;Cebano
Alam ba nimo nga ang Chinese nag-invent sa car?;Wala ko nahibaw-an nga ang Chinese nag-invent sa car.;noncommittal;Cebano
Alam ba nimo nga ang Chinese nag-invent sa computer?;Oo, ang tao sa Tsina nga si Zu Chongzhi ang nag-invent sa unang computer sa ika-5 siglo AD.;affirmation;Cebano
Alam ba nimo nga ang Chinese nadakpan ang America sa ika-13 siglo?;Wala ko'y nahibal-an nga ang Chinese nadakpan ang America sa ika-13 siglo.;noncommittal;Cebano
Alam ba nimo nga ang Chinese nadakpan ang atomic bomb?;Oo, nagtrabaho ang mga Tsino sa pagbuo ng kanilang sariling atomic bomb noong 1964.;affirmation;Cebano
Alam ba nimo nga ang Great Wall of China gibaligya sa ika-6 siglo?;Oo, ang Great Wall of China gibaligya sa ika-6 siglo sa Emperador Qin Shi Huang.;affirmation;Cebano
Alam ba nimo nga ang Chinese nag-invent sa steamboat?;Oo, alam ko na ang mga Intsik ang nag-invent ng steamboat.;affirmation;Cebano
Alam ba nimo nga ang Chinese nag-invent sa telephone sa ika-18 siglo?;Oo, ang Chinese nag-invent sa telephone sa ika-18 siglo.;affirmation;Cebano
Alam ba nimo nga ang Chinese nag-invent sa microscope?;Oo, ang Chinese sa pangalan ni Zhang Huangyan gumawa ng microscope noong ika-17 siglo.;affirmation;Cebano
Alam ba nimo nga ang unang Chinese dynasty nag-umpisang sa ika-12 siglo?;Oo, alam ko na ang unang Chinese dynasty na nagsimula sa ika-12 siglo ay ang Song Dynasty.;affirmation;Cebano
Alam ba nimo nga ang Chinese nag-invent sa telegraph?;Oo, ang Chinese ang nag-invent sa telegraph noong 1844.;affirmation;Cebano
Alam ba nimo nga ang Chinese nadakpan ang electricity sa ika-17 siglo?;Oo, ang mga Chinese nadakpan ang electricity sa ika-17 siglo. Ang ilang mga inisyatibo sa panahon na iyon ay nagresulta sa ilang mga pagsasaliksik sa elektrisidad at sa pag-develop ng mga aktwal na aparato na nagamit ng elektrisidad.;affirmation;Cebano
Alam ba nimo nga ang toothbrush gibaligya gikan sa metal?;Hindi ko alam na ang toothbrush ay ginagawa mula sa metal.;noncommittal;Cebano
Alam ba nimo nga usa ka bear makalipay?;Oo, usa ka bear makalipay. Makalipay sila sa pagkaon, pagpanihapon, ug pag-igsuon.;affirmation;Cebano
Alam ba nimo nga ang mga saging natural nga purple?;Oo, alam ko naman na ang mga saging natural na purple.;affirmation;Cebano
Alam ba nimo nga ang Mona Lisa usa ka self-portrait ni Napoleon?;Wala ko’y nahibal-an mahitungod sa Mona Lisa nga usa ka self-portrait ni Napoleon.;noncommittal;Cebano
Alam ba nimo nga ang Nile River usa ka pinakalarga sa kalibutan?;Oo, alam ko nga ang Nile River usa ka pinakalarga sa kalibutan. Ang Nile River mao ang pinakalarga sa tanan nga mga ilimnon sa mundo, ug ang kinadak-an nga 6,650 kilometro.;affirmation;Cebano
Alam ba nimo nga ang mga diamond gibaligya gikan sa cheese?;Wala ko'y nahibal-an nga ang mga diamond gibaligya gikan sa cheese.;noncommittal;Cebano
Alam ba nimo nga ang Sahara Desert usa ka pinakalamig nga desert sa kalibutan?;Oo, alam ko nga ang Sahara Desert usa ka pinakalamig nga desert sa kalibutan.;affirmation;Cebano
Alam ba nimo nga ang mga frog makasulti human nga lengguwahe?;Wala ko'y nahibal-an nga ang mga frog makasulti human nga lengguwahe.;noncommittal;Cebano
Alam ba nimo nga ang Statue of Liberty nahimutang sa Egypt?;Dili. Ang Statue of Liberty nahimutang sa Estados Unidos, sa New York.;negation;Cebano
Alam ba nimo nga ang adlaw gibaligya gikan sa tubig?;Oo, alam ko nga ang adlaw gibaligya gikan sa tubig.;affirmation;Cebano
Alam ba nimo nga ang chocolate gikan sa bark sa usa ka punoan?;Oo, alam ko nga ang chocolate gikan sa bark sa usa ka punoan.;affirmation;Cebano
Alam ba nimo nga ang bulan gibaligya gikan sa cheese?;Wala akong nalalaman tungod sa tanang mga bulan nga gibaligya gikan sa cheese.;noncommittal;Cebano
Alam ba nimo nga ang unang car nag-invent ni Benjamin Franklin?;Wala ko nakasabot nga ang unang car nag-invent ni Benjamin Franklin.;noncommittal;Cebano
Alam ba nimo nga ang Eiffel Tower nahimutang sa Estados Unidos?;Hindi, ang Eiffel Tower ay nahimutang sa Paris, Pransiya.;negation;Cebano
Alam ba nimo nga ang mga cats makakita sa gabii?;Oo, ang mga cats makakita sa gabii dahil mayroon silang natural na kakayahang makakita sa dilim.;affirmation;Cebano
Alam ba nimo nga ang Taj Mahal nahimutang sa Rome?;Wala, ang Taj Mahal nahimutang sa India, sa lungsod sa Agra.;negation;Cebano
Alam ba nimo nga ang speed sa light makapalapdan?;Oho, alam ko nga ang speed sa light makapalapdan. Ang speed sa light makapalapdan sa 299,792,458 m / s.;affirmation;Cebano
Alam ba nimo nga ang Earth usa ka flat?;Dili. Ang Earth usa ka globo.;negation;Cebano
Alam ba nimo nga ang pinaka-kadaghan nga punoan nagdaog sa 1000 ka tuig?;Ang Christianiyohan.;noncommittal;Cebano
Alam ba nimo nga ang pera nag-anak sa mga punoan?;Wala ko nahibaw-an nga ang pera nag-anak sa mga punoan.;noncommittal;Cebano
Alam ba nimo nga ang mga cats nag-alagad sa siyam ka buhay?;Oo, ang alam ko ay ang mga cats ay mayroong labing-siyam na buhay.;affirmation;Cebano
Alam ba nimo nga ang adlaw gibaligya gikan sa cheese?;Hindi ko alam na ang adlaw gibaligya gikan sa cheese.;noncommittal;Cebano
Alam ba nimo nga ang kalawdan gibaligya gikan sa jellybeans?;Oo, alam ko nga ang kalawdan gibaligya gikan sa jellybeans.;affirmation;Cebano
Alam ba nimo nga ang tanan nga mga aso nag-anak sa mga langit?;Wala ko kahibalo.;noncommittal;Cebano
Alam ba nimo nga ang mga punoan makasulti?;Oo, ang mga punoan makasulti.;affirmation;Cebano
Alam ba nimo nga ang tanan nga mga cats nag-anak sa mga stripes?;Hindi ko alam.;noncommittal;Cebano
Alam ba nimo nga ang mga mansanas nag-anak sa mga punoan?;Oo, alam ko na ang mga mansanas ay nanggagaling sa mga puno.;affirmation;Cebano
Alam ba nimo nga ang mga baboy makalipay?;Oo, ang mga baboy makalipay.;affirmation;Cebano
Alam ba nimo nga ang tanan nga mga ibon makalangoy?;Oo, alam ko na ang lahat ng mga ibon ay makalangoy.;affirmation;Cebano
